year,strategy,pair,trades,wins,losses,win_rate_pct,net_usdt,total_return_pct,average_trade_pct,profit_factor,expectancy_usdt,average_duration_hours,maximum_consecutive_losses,closed_trade_drawdown_pct,top5_net_usdt,top10_net_usdt,top5_gross_profit_share,top10_gross_profit_share,top5_net_share,top10_net_share
2022,V2TrendPullback,ETH/USDT,26,7,19,26.923076923076923,-6.686104460000001,-0.6686104460000001,-0.2573342228007006,0.8476083358526114,-0.2571578638461539,13.923076923076923,6,2.146906273000002,30.00754828,34.429748499999995,0.806906750125199,0.9258202706376829,,
2022,V2CompressionBreakout,BTC/USDT,8,2,6,25.0,-0.7921489200000003,-0.07921489200000002,-0.09862871312852542,0.921084170269317,-0.09901861500000003,11.0,3,0.6002884669999957,6.484287449999998,-0.7921489200000007,0.7013264738280586,-0.08567710995142658,,
2022,V2CompressionBreakout,ETH/USDT,6,1,5,16.666666666666664,-1.0584436100000003,-0.10584436100000003,-0.1763426910988983,0.8500095044624351,-0.1764072683333334,11.5,4,0.4438990891927599,1.5442302399999992,-1.0584436100000008,0.25744489567605827,-0.17645743341707962,,
2022,V2RegimeAdaptive,BTC/USDT,17,7,10,41.17647058823529,-3.6650079899999994,-0.36650079899999993,-0.2159479548308975,0.6140829371003901,-0.2155887052941176,7.647058823529411,4,0.5883138584881903,5.17026406,5.10004374,0.8865530926468963,0.8745123068881406,,
2022,V2RegimeAdaptive,ETH/USDT,12,9,3,75.0,8.10085521,0.8100855210000001,0.6751950776746796,2.455283221087212,0.6750712675,8.166666666666666,1,0.3375085575735575,10.918811570000003,12.48505132,0.798896332631961,0.9134933457112331,1.3478591194324039,1.5412016381416105
2022,V2TrendPullbackLo,BTC/USDT,18,3,15,16.666666666666664,-12.97451236,-1.2974512360000001,-0.7217609184194752,0.48585725301112304,-0.7208062422222222,21.944444444444446,7,1.9327707593872898,10.915636789999999,4.36197114,0.8902931984186825,0.35576790546917664,,
2022,V2TrendPullbackLo,ETH/USDT,26,7,19,26.923076923076923,-6.686104460000001,-0.6686104460000001,-0.2573342228007006,0.8476083358526114,-0.2571578638461539,13.923076923076923,6,2.146906273000002,30.00754828,34.429748499999995,0.806906750125199,0.9258202706376829,,
2022,V2TrendPullbackHi,BTC/USDT,18,3,15,16.666666666666664,-12.97451236,-1.2974512360000001,-0.7217609184194752,0.48585725301112304,-0.7208062422222222,21.944444444444446,7,1.9327707593872898,10.915636789999999,4.36197114,0.8902931984186825,0.35576790546917664,,
2022,V2TrendPullbackHi,ETH/USDT,25,7,18,28.000000000000004,-6.484288359999999,-0.6484288359999999,-0.25954370797779025,0.8515252259116906,-0.25937153439999994,13.68,5,2.1267246630000045,30.00754828,33.20625499,0.806906750125199,0.8929203761597536,,
2022,V2CompressionBreakoutLo,BTC/USDT,7,2,5,28.57142857142857,1.2428484799999993,0.12428484799999992,0.17815357413202762,1.1552997840172656,0.17754978285714276,12.0,3,0.6002884669999957,6.484287449999998,1.2428484799999984,0.7013264738280586,0.13442379732578966,5.21727914089737,0.9999999999999993
2022,V2CompressionBreakoutLo,ETH/USDT,5,1,4,20.0,-0.11422371000000031,-0.011422371000000032,-0.022447438047329682,0.9813131494155755,-0.022844742000000064,13.2,3,0.3497966354054704,-0.11422371000000053,-0.11422371000000053,-0.019042698648798956,-0.019042698648798956,,
