dataset,year,pair,feature,reference_year,standardized_mean_shift,ks_statistic,reference_n,n
A_portfolio,2021,BTC/USDT,distance_low_24,2019,0.8053787597029147,0.3792517006802721,108,98
A_portfolio,2021,BTC/USDT,distance_high_168,2019,-0.2395560531835561,0.17044595616024188,108,98
A_portfolio,2021,BTC/USDT,distance_low_168,2019,0.5888017770441761,0.3123582766439909,108,98
A_portfolio,2021,BTC/USDT,candles_since_prior_signal,2019,0.2041213006711655,0.1445578231292517,108,98
A_portfolio,2021,BTC/USDT,source_synthetic,2019,,0.0,108,98
A_portfolio,2021,BTC/USDT,return_1h,2019,-0.11064297496643238,0.19973544973544974,108,98
A_portfolio,2021,BTC/USDT,return_3h,2019,0.06669364291455364,0.23582766439909297,108,98
A_portfolio,2021,BTC/USDT,return_6h,2019,0.35145120206393726,0.2509448223733938,108,98
A_portfolio,2021,BTC/USDT,return_12h,2019,0.6197565464056128,0.33994708994708994,108,98
A_portfolio,2021,BTC/USDT,return_24h,2019,0.6948460059450529,0.3486394557823129,108,98
A_portfolio,2021,BTC/USDT,return_72h,2019,-0.1154370624472944,0.16288737717309146,108,98
A_portfolio,2021,BTC/USDT,return_168h,2019,-0.038816455792298594,0.14777021919879063,108,98
A_portfolio,2021,BTC/USDT,volatility_ratio_24_168,2019,0.3118771163534713,0.31991685563114136,108,98
A_portfolio,2021,BTC/USDT,natr_ratio_168,2019,0.0878164909561081,0.18726379440665156,108,98
A_portfolio,2021,BTC/USDT,up_fraction_24,2019,0.08407119805351156,0.055744520030234314,108,98
A_portfolio,2021,BTC/USDT,volume_price_interaction,2019,-0.06346801075443602,0.18953136810279667,108,98
A_portfolio,2021,BTC/USDT,range_expansion_24,2019,-0.09229732998607729,0.10071806500377929,108,98
A_portfolio,2021,BTC/USDT,signal_density_168,2019,-0.0584790337745251,0.07596371882086168,108,98
A_portfolio,2021,ETH/USDT,ema20_distance,2019,0.3649295403978843,0.2124223602484472,115,105
A_portfolio,2021,ETH/USDT,ema50_distance,2019,0.35368660653877476,0.20869565217391303,115,105
A_portfolio,2021,ETH/USDT,ema_gap,2019,0.16390015089320656,0.2062111801242236,115,105
A_portfolio,2021,ETH/USDT,ema20_slope_6,2019,0.5725513151574557,0.2600414078674948,115,105
A_portfolio,2021,ETH/USDT,ema50_slope_6,2019,0.44894518267015726,0.2277432712215321,115,105
A_portfolio,2021,ETH/USDT,trend_efficiency_20,2019,0.18591420624785593,0.14616977225672878,115,105
A_portfolio,2021,ETH/USDT,range_ratio,2019,0.7445512920483742,0.4041407867494824,115,105
A_portfolio,2021,ETH/USDT,body_to_range,2019,0.174523949925642,0.0927536231884058,115,105
A_portfolio,2021,ETH/USDT,close_location,2019,0.33733992294376225,0.17971014492753623,115,105
A_portfolio,2021,ETH/USDT,natr14,2019,1.4404722439178996,0.4380952380952381,115,105
A_portfolio,2021,ETH/USDT,return_std_24,2019,1.1732049837781349,0.4824016563146998,115,105
A_portfolio,2021,ETH/USDT,return_std_168,2019,1.0411812658993198,0.35942028985507246,115,105
A_portfolio,2021,ETH/USDT,volatility_percentile_720,2019,0.06849415289956465,0.07122153209109731,115,105
A_portfolio,2021,ETH/USDT,rsi14,2019,0.05488989310248814,0.115527950310559,115,105
A_portfolio,2021,ETH/USDT,macd_ratio,2019,0.6042458301766876,0.25838509316770186,115,105
A_portfolio,2021,ETH/USDT,macd_signal_ratio,2019,0.6116918671405908,0.32712215320910976,115,105
A_portfolio,2021,ETH/USDT,relative_volume_24,2019,-0.05258237412140187,0.20165631469979295,115,105
A_portfolio,2021,ETH/USDT,volume_zscore_24,2019,-0.012977910544140337,0.11055900621118013,115,105
A_portfolio,2021,ETH/USDT,volume_trend_24_168,2019,0.09433562808345478,0.15113871635610765,115,105
A_portfolio,2021,ETH/USDT,regime_duration,2019,3.0324052670598687,0.23809523809523808,115,105
A_portfolio,2021,ETH/USDT,regime_transition,2019,0.006304193144435438,0.002070393374741201,115,105
A_portfolio,2021,ETH/USDT,hour_of_day,2019,0.2612935237936606,0.15693581780538302,115,105
A_portfolio,2021,ETH/USDT,day_of_week,2019,-0.12191018446361185,0.09358178053830228,115,105
A_portfolio,2021,ETH/USDT,distance_high_24,2019,-0.203708558389488,0.13954451345755695,115,105
A_portfolio,2021,ETH/USDT,distance_low_24,2019,1.1567735169339595,0.4774327122153209,115,105
A_portfolio,2021,ETH/USDT,distance_high_168,2019,-0.0653263053915697,0.12339544513457557,115,105
A_portfolio,2021,ETH/USDT,distance_low_168,2019,1.0490822125624195,0.368944099378882,115,105
A_portfolio,2021,ETH/USDT,candles_since_prior_signal,2019,0.19305424725593479,0.10351966873706005,115,105
A_portfolio,2021,ETH/USDT,source_synthetic,2019,,0.0,115,105
A_portfolio,2021,ETH/USDT,return_1h,2019,0.1351294442165219,0.17474120082815736,115,105
A_portfolio,2021,ETH/USDT,return_3h,2019,-0.10331171425001061,0.12960662525879918,115,105
A_portfolio,2021,ETH/USDT,return_6h,2019,0.19941552740802052,0.18343685300207038,115,105
A_portfolio,2021,ETH/USDT,return_12h,2019,0.41844589174830527,0.26418219461697723,115,105
A_portfolio,2021,ETH/USDT,return_24h,2019,0.7800680755026789,0.3022774327122153,115,105
A_portfolio,2021,ETH/USDT,return_72h,2019,-0.109931403348855,0.14824016563146997,115,105
A_portfolio,2021,ETH/USDT,return_168h,2019,0.4112359489154511,0.1701863354037267,115,105
A_portfolio,2021,ETH/USDT,volatility_ratio_24_168,2019,0.3070537943864199,0.2836438923395445,115,105
A_portfolio,2021,ETH/USDT,natr_ratio_168,2019,0.05601666448413377,0.1453416149068323,115,105
A_portfolio,2021,ETH/USDT,up_fraction_24,2019,0.3021516808699938,0.17929606625258798,115,105
A_portfolio,2021,ETH/USDT,volume_price_interaction,2019,-0.014780902140105063,0.1556935817805383,115,105
A_portfolio,2021,ETH/USDT,range_expansion_24,2019,-0.08953292766975313,0.12753623188405797,115,105
A_portfolio,2021,ETH/USDT,signal_density_168,2019,-0.08765399197797265,0.06583850931677018,115,105
A_portfolio,2022,BTC/USDT,ema20_distance,2019,-0.050823549829081,0.11006289308176101,108,106
A_portfolio,2022,BTC/USDT,ema50_distance,2019,-0.08692960468814263,0.0992313067784766,108,106
A_portfolio,2022,BTC/USDT,ema_gap,2019,-0.13883042253688707,0.1719077568134172,108,106
A_portfolio,2022,BTC/USDT,ema20_slope_6,2019,0.004630696378764404,0.07040531097134871,108,106
A_portfolio,2022,BTC/USDT,ema50_slope_6,2019,-0.060834356307719356,0.1112858141160028,108,106
A_portfolio,2022,BTC/USDT,trend_efficiency_20,2019,0.05781070455318639,0.0870020964360587,108,106
A_portfolio,2022,BTC/USDT,range_ratio,2019,-0.005478820678880747,0.0957372466806429,108,106
A_portfolio,2022,BTC/USDT,body_to_range,2019,0.21908672238158378,0.12386443046820406,108,106
A_portfolio,2022,BTC/USDT,close_location,2019,0.11684064435489272,0.14500349406009783,108,106
A_portfolio,2022,BTC/USDT,natr14,2019,0.0011164083404672169,0.12281621243885395,108,106
A_portfolio,2022,BTC/USDT,return_std_24,2019,0.10339588371845075,0.1684136967155835,108,106
A_portfolio,2022,BTC/USDT,return_std_168,2019,-0.04740096494643846,0.10744234800838574,108,106
A_portfolio,2022,BTC/USDT,volatility_percentile_720,2019,0.005908374389655528,0.05922431865828092,108,106
A_portfolio,2022,BTC/USDT,rsi14,2019,-0.07082294798126199,0.09014675052410902,108,106
A_portfolio,2022,BTC/USDT,macd_ratio,2019,0.04294849059429463,0.07512229210342418,108,106
A_portfolio,2022,BTC/USDT,macd_signal_ratio,2019,0.1129823178328961,0.0946890286512928,108,106
A_portfolio,2022,BTC/USDT,relative_volume_24,2019,-0.05706043344575055,0.13906359189378056,108,106
A_portfolio,2022,BTC/USDT,volume_zscore_24,2019,0.07145962000296659,0.12945492662473795,108,106
A_portfolio,2022,BTC/USDT,volume_trend_24_168,2019,0.19489445944559922,0.23078266946191475,108,106
A_portfolio,2022,BTC/USDT,regime_duration,2019,-0.19769051768677556,0.1540880503144654,108,106
A_portfolio,2022,BTC/USDT,regime_transition,2019,-0.07391530485541882,0.025681341719077568,108,106
A_portfolio,2022,BTC/USDT,hour_of_day,2019,0.1641684220116858,0.10499650593990216,108,106
A_portfolio,2022,BTC/USDT,day_of_week,2019,0.0013437880778568421,0.07023060796645703,108,106
A_portfolio,2022,BTC/USDT,distance_high_24,2019,-0.005035519860812656,0.10621942697414395,108,106
A_portfolio,2022,BTC/USDT,distance_low_24,2019,0.07319032883025643,0.17907058001397624,108,106
A_portfolio,2022,BTC/USDT,distance_high_168,2019,-0.1249316186831261,0.07739343116701607,108,106
A_portfolio,2022,BTC/USDT,distance_low_168,2019,-0.2841531194209271,0.1441299790356394,108,106
A_portfolio,2022,BTC/USDT,candles_since_prior_signal,2019,0.0420629410062682,0.1069182389937107,108,106
A_portfolio,2022,BTC/USDT,source_synthetic,2019,,0.0,108,106
A_portfolio,2022,BTC/USDT,return_1h,2019,0.054737520571239276,0.10814116002795249,108,106
A_portfolio,2022,BTC/USDT,return_3h,2019,-0.0689335953151432,0.11215932914046121,108,106
A_portfolio,2022,BTC/USDT,return_6h,2019,-0.08128753684792182,0.07477288609364081,108,106
A_portfolio,2022,BTC/USDT,return_12h,2019,-0.03277128996856677,0.0992313067784766,108,106
A_portfolio,2022,BTC/USDT,return_24h,2019,0.20625866912037838,0.19741439552760306,108,106
A_portfolio,2022,BTC/USDT,return_72h,2019,-0.10567888435440374,0.08176100628930817,108,106
A_portfolio,2022,BTC/USDT,return_168h,2019,-0.3798572615581676,0.1694619147449336,108,106
A_portfolio,2022,BTC/USDT,volatility_ratio_24_168,2019,0.18682580993036882,0.19549266247379454,108,106
A_portfolio,2022,BTC/USDT,natr_ratio_168,2019,-0.037605086695489356,0.10587002096436059,108,106
A_portfolio,2022,BTC/USDT,up_fraction_24,2019,0.08899650126023205,0.08735150244584207,108,106
A_portfolio,2022,BTC/USDT,volume_price_interaction,2019,-0.04392205295916111,0.08018867924528301,108,106
