dataset,year,feature,target,method,r,n
A_portfolio,ALL,return_1h,return_above_1_percent,pearson,0.0253858332715528,1271
A_portfolio,ALL,return_1h,return_above_1_percent,spearman,0.01660925781903803,1271
A_portfolio,ALL,return_3h,return_above_1_percent,pearson,0.11396051621160008,1271
A_portfolio,ALL,return_3h,return_above_1_percent,spearman,0.10852852627153635,1271
A_portfolio,ALL,return_6h,return_above_1_percent,pearson,0.16165893129199715,1271
A_portfolio,ALL,return_6h,return_above_1_percent,spearman,0.12882606555569204,1271
A_portfolio,ALL,return_12h,return_above_1_percent,pearson,0.18403242723331958,1271
A_portfolio,ALL,return_12h,return_above_1_percent,spearman,0.1780495171862977,1271
A_portfolio,ALL,return_24h,return_above_1_percent,pearson,0.16262780797679244,1271
A_portfolio,ALL,return_24h,return_above_1_percent,spearman,0.18501360680606183,1271
A_portfolio,ALL,return_72h,return_above_1_percent,pearson,0.08242029512079607,1271
A_portfolio,ALL,return_72h,return_above_1_percent,spearman,0.084336468232736,1271
A_portfolio,ALL,return_168h,return_above_1_percent,pearson,0.08857109347899862,1271
A_portfolio,ALL,return_168h,return_above_1_percent,spearman,0.08511824964321917,1271
A_portfolio,ALL,volatility_ratio_24_168,return_above_1_percent,pearson,0.09228746361216168,1271
