fold,model,feature_set,feature,ap_drop
1,hist_gradient,E_no_regime,candles_since_prior_signal,0.0
1,hist_gradient,E_no_regime,source_synthetic,0.0
1,hist_gradient,E_no_regime,pair,0.0
1,hist_gradient,E_no_regime,return_1h,0.0
1,hist_gradient,E_no_regime,return_3h,0.0
1,hist_gradient,E_no_regime,return_6h,0.0
1,hist_gradient,E_no_regime,return_12h,0.013661054989182705
1,hist_gradient,E_no_regime,return_24h,0.0
1,hist_gradient,E_no_regime,return_72h,0.0055195575886668275
2,logistic,A_all,ema20_distance,0.0002074259777241072
2,logistic,A_all,ema50_distance,0.001245139221369133
2,logistic,A_all,ema_gap,-0.01793425326033843
2,logistic,A_all,ema20_slope_6,-0.0037408825472338703
2,logistic,A_all,ema50_slope_6,-0.008048427955774928
2,logistic,A_all,trend_efficiency_20,0.03122882588024506
2,logistic,A_all,body_ratio,0.0017714411043116367
2,logistic,A_all,range_ratio,0.0005424063116370448
2,logistic,A_all,body_to_range,0.10085487753900907
2,logistic,A_all,close_location,0.0007143888006927076
2,logistic,A_all,atr14,0.00026920577558657105
2,logistic,A_all,natr14,-0.00068899246823421
2,logistic,A_all,return_std_24,-0.006289649170406086
2,logistic,A_all,return_std_168,-0.0066060362957921686
2,logistic,A_all,volatility_percentile_720,0.0028764347076312147
2,logistic,A_all,rsi14,0.0013879443643945628
2,logistic,A_all,macd_ratio,-0.0018483045539893772
2,logistic,A_all,macd_signal_ratio,-0.009722689220865574
2,logistic,A_all,macd_hist_ratio,-0.0009375304303901877
2,logistic,A_all,relative_volume_24,0.015017541580838087
2,logistic,A_all,volume_zscore_24,0.0010583537788040331
2,logistic,A_all,volume_trend_24_168,0.0368771888139102
2,logistic,A_all,regime_duration,0.07713259776390219
2,logistic,A_all,regime_transition,0.0005493894310274102
2,logistic,A_all,hour_of_day,0.009589063680218779
2,logistic,A_all,day_of_week,0.06662721566914014
2,logistic,A_all,distance_high_24,-0.00068899246823421
2,logistic,A_all,distance_low_24,0.004364048541154446
2,logistic,A_all,distance_high_168,-0.006076356833154051
2,logistic,A_all,distance_low_168,0.0010583537788040331
2,logistic,A_all,candles_since_prior_signal,-0.009210274782484632
2,logistic,A_all,source_synthetic,0.0
2,logistic,A_all,pair,0.0005335866968136926
2,logistic,A_all,regime,-0.0019427346260752487
2,logistic,A_all,return_1h,0.004776426913546646
2,logistic,A_all,return_3h,0.00017128620367484748
2,logistic,A_all,return_6h,0.0007720841262651897
2,logistic,A_all,return_12h,0.020230344279947077
2,logistic,A_all,return_24h,0.0954268671651859
2,logistic,A_all,return_72h,-0.01631327408159024
2,forest,A_all,ema20_distance,0.0005737904125711809
2,forest,A_all,ema50_distance,0.010692173824041973
2,forest,A_all,ema_gap,0.02360781218918249
2,forest,A_all,ema20_slope_6,0.003332098776507327
2,forest,A_all,ema50_slope_6,0.0013997603688226667
