feature,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,split,pair
hour_of_day,102.0,11.794117647058824,6.998356575532526,0.0,1.0,1.0,5.25,12.0,17.0,22.94999999999999,23.0,23.0,development,ETH/USDT
day_of_week,102.0,3.1862745098039214,2.0427626030968797,0.0,0.0,0.0,1.0,3.0,5.0,6.0,6.0,6.0,development,ETH/USDT
distance_high_24,102.0,-0.009099956985074044,0.005979456467981166,-0.03251355013550139,-0.02617468360926428,-0.020693735626744456,-0.01190153159970736,-0.007431919518763486,-0.005188434428804789,-0.0022698161236041304,-0.0010380164228655127,-0.0007767136244338779,development,ETH/USDT
distance_low_24,102.0,0.025628153057115206,0.016543093504680813,0.0034094634466179663,0.0039762158957688774,0.004956797939844216,0.012873994330653338,0.021734792501768796,0.0349558486002981,0.0534428877667406,0.07688794355472597,0.08624480708760829,development,ETH/USDT
distance_high_168,102.0,-0.03857816520488037,0.026735422814373234,-0.12471866040326118,-0.10965700821354492,-0.09732862825634714,-0.050496331216705104,-0.034207499794756735,-0.02083546710826356,-0.006466025363649012,-0.0028114800195239097,-0.0024092221363802846,development,ETH/USDT
distance_low_168,102.0,0.05818055593603743,0.042641223297887124,0.010761936266401984,0.01127101737771464,0.01451172294430736,0.027173923083225915,0.04941999454818047,0.07344585874470988,0.14473602258345017,0.19913454165818031,0.2450470991457112,development,ETH/USDT
candles_since_prior_signal,102.0,85.0,48.20069429679483,8.0,17.06,27.150000000000002,52.25,71.5,111.0,166.84999999999997,253.27999999999963,274.0,development,ETH/USDT
source_synthetic,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,development,ETH/USDT
return_1h,102.0,0.0012322997382912732,0.006419668421229704,-0.0114276555200028,-0.010538062815130473,-0.003979214031122491,-0.0012881216446500587,0.00012225733983628473,0.002257189508873658,0.011702615245981126,0.019719958393587804,0.046161233073201524,development,ETH/USDT
return_3h,102.0,0.0037394154105157246,0.009437144048138446,-0.010979184924529206,-0.008604027656891862,-0.006678402425774853,-0.0010971947905047685,0.0016571099742942463,0.004901201354774343,0.022446440765348397,0.040071530458638066,0.048142442196795754,development,ETH/USDT
return_6h,102.0,0.005675657570586116,0.011420746947438111,-0.010959563367495373,-0.009314242125115028,-0.0060193900223584505,-0.0010513658922504665,0.0015179869564589943,0.007233895616905683,0.028492246905511026,0.04270042798592411,0.04608493776740574,development,ETH/USDT
return_12h,102.0,0.009880696986026926,0.015139502424523825,-0.02077747529674756,-0.012301147539623887,-0.008607699354190552,5.8762275612522785e-05,0.005465065855313367,0.018275411528231866,0.035012797161681826,0.05175848788962049,0.06513235777334647,development,ETH/USDT
return_24h,102.0,0.015184619361320602,0.014128399137119368,-0.011538943221795939,-0.0023334619952425128,0.00047139438230641177,0.00472415147717975,0.01132727715841797,0.023227427066674966,0.04338934529312973,0.04734801992059654,0.06461481704765792,development,ETH/USDT
return_72h,102.0,0.003220774219635851,0.0299447283627096,-0.08483776491774497,-0.0723316288698144,-0.03943520037625187,-0.01084158177654826,-0.0007834042661475915,0.01827924597271824,0.052548095290720805,0.09656379321147747,0.10332607463532484,development,ETH/USDT
ema20_distance,205.0,0.009060739985250385,0.011407597434699145,-0.013963168162928974,-0.008973337154648058,-0.004943534777636427,0.0009947636588398812,0.005916683798205424,0.016047292672671354,0.03172198412570413,0.04044843574752663,0.06347800647286062,validation,ALL
ema50_distance,205.0,0.01002388094028921,0.013718973259667672,-0.016869632972499105,-0.014879422597511977,-0.007819645651830864,0.00047104721427992935,0.007207682205622179,0.018167301240620937,0.03717186270505803,0.04548399764432157,0.07199607037093192,validation,ALL
ema_gap,205.0,0.0008900976075478949,0.004456298677098428,-0.021438742569059362,-0.009478181146402736,-0.006565493786071344,-0.0018270251256270558,0.0009885767485291197,0.0036442376045001507,0.0073942343542282634,0.00974254699294612,0.012007620614929779,validation,ALL
ema20_slope_6,205.0,0.0044760032300674175,0.005246566091973773,-0.006592852222223722,-0.005356797790419718,-0.0021079694239696245,0.0011095410539450068,0.003838352257195865,0.007077723609478115,0.013928599281814422,0.020121612895486224,0.028211010024194128,validation,ALL
ema50_slope_6,205.0,0.0016519776948766948,0.0024447212852610673,-0.004867710974206352,-0.003222249775199719,-0.002143901117774938,-2.8255832358548005e-05,0.0014611445442556104,0.0028844728288122123,0.00607248963535393,0.007655398495257436,0.010003211273136081,validation,ALL
